Temp [C],Umid. Relativa,Vazão [m3/min],Pres. Total [Pa],Pres. Estatica [Pa],Pres. Dinâmica [Pa],Pres. Placa o. [Pa],Teste
24.076,68.054,0.861,180.221,144.108,36.113,250.439,2
24.062,68.186,0.854,172.886,133.175,39.711,175.976,2
24.069,68.24,0.847,164.222,121.215,43.007,324.902,2
24.098,68.225,0.84,154.127,108.197,45.93,146.679,2
24.148,68.159,0.835,142.657,94.27,48.387,295.605,2
24.213,68.059,0.83,130.031,79.739,50.292,135.693,2
24.287,67.935,0.825,116.52,64.923,51.597,218.701,2
24.364,67.802,0.818,102.388,50.098,52.29,254.101,2
24.435,67.697,0.812,88.242,35.918,52.324,178.418,2
24.496,67.641,0.805,74.473,22.825,51.648,218.701,2
24.543,67.614,0.799,61.158,10.854,50.304,213.818,2
24.591,67.61,0.785,35.798,-10.291,46.089,154.004,2
24.59,67.629,0.776,23.805,-19.57,43.375,271.191,2
24.57,67.666,0.769,12.528,-27.859,40.387,260.205,2
24.534,67.722,0.763,2.05,-35.22,37.27,340.771,2
24.479,67.817,0.76,-7.554,-41.709,34.155,247.998,2
24.409,67.954,0.76,-15.95,-47.104,31.154,284.619,2
24.331,68.123,0.764,-22.506,-50.809,28.303,337.109,2
24.249,68.315,0.771,-26.948,-52.582,25.634,229.687,2
24.171,68.515,0.781,-29.654,-52.891,23.237,238.232,2
24.108,68.713,0.792,-30.973,-52.125,21.152,268.75,2
24.067,68.906,0.805,-30.865,-50.29,19.425,287.06,2
24.053,69.084,0.818,-29.414,-47.548,18.134,254.101,2
24.067,69.233,0.831,-26.684,-43.977,17.293,254.101,2
24.104,69.336,0.842,-22.649,-39.524,16.875,250.439,2
24.156,69.401,0.851,-17.211,-34.135,16.924,245.556,2
24.211,69.438,0.857,-10.437,-27.88,17.443,279.736,2
24.261,69.43,0.86,-2.843,-21.241,18.398,222.363,2
24.297,69.388,0.861,5.075,-14.737,19.812,258.984,2
24.317,69.336,0.859,13.094,-8.574,21.668,280.957,2
24.318,69.283,0.857,20.984,-2.89,23.874,715.527,2
24.298,69.25,0.858,28.531,2.265,26.266,279.736,2
24.219,69.232,0.866,41.918,10.773,31.145,219.922,2
24.176,69.227,0.872,47.552,14.092,33.46,204.052,2
24.145,69.205,0.877,52.675,17.113,35.562,268.75,2
24.135,69.138,0.881,57.247,19.87,37.377,249.218,2
24.142,69.036,0.883,61.143,22.263,38.88,289.502,2
24.161,68.915,0.883,64.304,24.186,40.118,263.867,2
24.19,68.784,0.882,66.676,25.608,41.068,273.633,2
24.224,68.659,0.879,68.263,26.612,41.651,255.322,2
24.266,68.543,0.874,69.174,27.373,41.801,265.088,2
24.313,68.441,0.869,69.573,28.043,41.53,223.584,2
24.36,68.366,0.863,69.605,28.695,40.91,250.439,2
24.403,68.322,0.856,69.223,29.233,39.99,233.349,2
24.438,68.296,0.85,68.378,29.584,38.794,233.349,2
24.469,68.273,0.844,67.398,30.092,37.306,194.287,2
24.492,68.273,0.839,66.376,30.793,35.583,207.715,2
24.511,68.299,0.835,65.197,31.47,33.727,160.107,2
24.522,68.335,0.831,63.957,32.154,31.803,178.418,2
24.526,68.376,0.825,62.867,33.026,29.841,226.025,2
24.52,68.395,0.816,62.17,34.28,27.89,185.742,2
24.502,68.37,0.806,62.084,36.101,25.983,229.687,2
24.466,68.309,0.795,63.003,38.833,24.17,279.736,2
24.415,68.226,0.785,65.433,42.92,22.513,244.336,2
24.355,68.14,0.777,69.873,48.842,21.031,206.494,2
24.289,68.089,0.772,76.511,56.821,19.69,244.336,2
24.22,68.078,0.769,85.133,66.667,18.466,302.929,2
24.158,68.092,0.77,95.332,77.973,17.359,202.832,2
24.109,68.127,0.773,106.736,90.401,16.335,289.502,2
24.082,68.17,0.779,119.114,103.68,15.434,260.205,2
24.078,68.218,0.787,132.01,117.317,14.693,219.922,2
24.099,68.257,0.795,144.803,130.682,14.121,280.957,2
24.137,68.257,0.804,157.144,143.397,13.747,252.881,2
24.186,68.22,0.814,168.691,155.083,13.608,300.488,2
24.238,68.171,0.822,178.967,165.251,13.716,206.494,2
24.284,68.114,0.828,187.838,173.819,14.019,287.06,2
24.319,68.036,0.834,195.427,180.957,14.47,239.453,2
24.342,67.923,0.837,201.653,186.624,15.029,205.273,2
24.356,67.787,0.839,206.477,190.843,15.634,312.695,2
24.363,67.627,0.841,209.907,193.683,16.224,273.633,2
24.365,67.454,0.842,212.026,195.277,16.749,274.853,2
24.366,67.294,0.844,213.185,195.979,17.206,322.461,2
24.372,67.168,0.846,213.744,196.148,17.596,254.101,2
24.383,67.092,0.847,213.917,196.018,17.899,154.004,2
24.394,67.061,0.848,213.739,195.614,18.125,182.08,2
24.401,67.055,0.847,213.553,195.224,18.329,134.472,2
24.411,67.077,0.844,213.715,195.17,18.545,302.929,2
24.425,67.129,0.839,214.214,195.502,18.712,260.205,2
24.441,67.202,0.834,215.023,196.241,18.782,300.488,2
24.453,67.284,0.828,216.251,197.471,18.78,273.633,2
24.453,67.364,0.823,217.801,199.043,18.758,238.232,2
24.435,67.453,0.819,219.469,200.736,18.733,185.742,2
24.403,67.561,0.815,221.452,202.761,18.691,257.763,2
24.361,67.66,0.812,224.173,205.525,18.648,210.156,2
24.311,67.739,0.81,227.585,208.915,18.67,272.412,2
24.261,67.806,0.809,231.121,212.27,18.851,266.308,2
24.22,67.87,0.809,234.312,215.15,19.162,164.99,2
24.188,67.932,0.811,236.923,217.464,19.459,266.308,2
24.163,67.982,0.813,239.044,219.366,19.678,241.894,2
24.143,68.033,0.814,240.789,220.954,19.835,189.404,2
24.121,68.099,0.816,242.135,222.184,19.951,285.84,2
24.094,68.175,0.816,242.981,222.941,20.04,206.494,2
